,artist,title,medium,height,width,creation_year,country,fold_ix
591,"Stott, Edward",Changing Pastures,OilPaintCanvas,876,705,1893,Other,1
592,"Knights, Winifred",The Deluge,OilPaintCanvas,1835,1529,1920,UK,2
593,"Anquetin, Louis",Two Studies for The Three Graces,OilPaintCanvas,768,616,1899,Other,3
594,"Nellens, Roger",Machine IV,Screenprint,413,726,1972,Other,4
595,"Hill, John","Interior of the Carpenters Shop at Forty Hill, Enfield",OilPaintCanvas,688,470,1813,UK,5
596,"Phillips, Patrick",Mrs Carter Gifford,OilPaintCanvas,719,914,1947,Other,1
597,Guerrilla Girls,[no title],Screenprint,560,430,1985,Other,2
598,"Pitchforth, Roland Vivian","Wet Windscreen, Ramsgate Harbour",Watercolor,625,477,1971,UK,3
599,"Nechamkin, Sarah",Landscape,Lithograph,283,391,1960,Other,4
600,"Pulham, Peter Rose","LHtel Sully, Courtyard with Figures",OilPaintCanvas,1685,1398,1944,UK,5
601,"Van Leyden, Ernst",Girl with Clasped Hands,OilPaintCanvas,603,727,1931,Other,1
602,"Rutherston, Albert","The Pump, Nash End",OilPaintCanvas,508,406,1931,UK,2
603,"Jones, Barbara","Pineapple House, Stirling",Lithograph,476,629,1971,UK,3
604,"Redon, Odilon",Profile of a Woman with a Vase of Flowers,OilPaintCanvas,505,655,1895,Other,4
605,"Rouault, Georges",The Italian Woman,OilPaintCanvas,498,651,1938,Other,5
606,"Maclaren, Donald",D.S. MacColl,OilPaintCanvas,340,536,1906,UK,1
607,"Fini, Leonor",Little Hermit Sphinx,OilPaintCanvas,244,411,1948,Other,2
608,"Czanne, Paul",The Avenue at the Jas de Bouffan,OilPaintCanvas,460,381,1874,Other,3
609,"Windus, William Lindsay","Mrs Teed, the Artists Daughter",OilPaintCanvas,457,546,1880,UK,4
610,"Ayot, Pierre",... and Chewing Gum,Lithograph,483,705,1971,Other,5
611,"Bill, Simon",Fairy Face,Screenprint,303,361,2008,UK,1
612,"Tompkins, Hayley",No Title,Watercolor,208,292,2011,UK,2
613,"Miller, Harland",International Lonely Guy,Lithograph,141,192,2008,UK,3
614,"Gertler, Mark",Merry-Go-Round,OilPaintCanvas,1422,1892,1916,UK,4
615,"Hurlstone, Frederick Yeates",Sancho Panza Attended by his State Physician,OilPaintCanvas,1340,1092,1868,UK,5
616,"Wyatt, Henry",Archimedes,OilPaintCanvas,625,759,1832,Other,1
617,"Lely, Sir Peter",Man Playing a Pipe,OilPaintCanvas,1055,1428,1648,Other,2
618,"Craxton, John",Cretan Portrait,OilPaintCanvas,307,360,1948,UK,3
619,"Frlaut, Jean",Wedding Feast in Brittany,OilPaintCanvas,1308,895,1908,Other,4
620,"Carline, Richard",Sea Shore,OilPaintCanvas,562,940,1920,UK,5
621,"Markson, Helena",Tower of London,Lithograph,565,435,1968,UK,1
622,"Kelly, Ellsworth",Orange Relief with Green,OilPaintCanvas,2153,2375,1991,US,2
623,"Vollon, Antoine",Harbour at Marseilles,OilPaintCanvas,733,606,1882,Other,3
624,"Hoare, William",A Gentleman in Brown,OilPaintCanvas,639,765,1750,UK,4
625,"Rowell, Kenneth",Two Figures in a Landscape,Lithograph,721,498,1963,Other,5
626,"Lundquist, Evert",Woman in Red,OilPaintCanvas,902,1000,1956,Other,1
627,"Opsomer, Isidore",Vase with Dahlias,OilPaintCanvas,498,600,1935,Other,2
628,"Gear, William",The Sculptor,OilPaintCanvas,910,1520,1953,UK,3
629,"Hicks, George Elgar",Womans Mission: Companion of Manhood,OilPaintCanvas,641,762,1863,UK,4
630,"Tanabe, Takao",Envelope Sketch,Screenprint,435,333,1967,Other,5
631,"Greenham, Peter",Lady Bonham Carter,OilPaintCanvas,711,914,1978,UK,1
632,"Soest, Gilbert","Portrait of a Gentleman with a Dog, Probably Sir Thomas Tipping",OilPaintCanvas,1149,939,1660,UK,2
633,"Holloway, Charles Edward",The St Vincent in Portsmouth Harbour,OilPaintCanvas,254,356,1893,UK,3
634,"Devis, Arthur",Breaking-Up Day at Dr Claytons School at Salford,OilPaintCanvas,1746,1207,1738,UK,4
635,"Procter, Dod",The Orchard,OilPaintCanvas,1270,1016,1934,UK,5
636,"Wolff, Robert Jay",Woodville,OilPaintCanvas,1016,1981,1967,US,1
637,"Carline, Sydney",Bank Holiday on Hampstead Heath,OilPaintCanvas,816,838,1915,UK,2
638,"Ferneley, John, I","Major Healey, Wearing Raby Hunt Uniform, Riding with the Sedgefield Hunt",OilPaintCanvas,970,764,1832,UK,3
639,"Morrice, James Wilson",House in Santiago,OilPaintCanvas,648,540,1915,Other,4
640,"Shackleton, William",Line of Life,OilPaintCanvas,1016,952,1915,UK,5
641,"Cinicolo, Donato",Sundei,Lithograph,797,299,1973,Other,1
642,"Lausen, Jens",Map No. IV The Time Before and After Mid Day Homage to C.D. Friedrich,Screenprint,562,679,1969,Other,2
643,"Van Der Zee, James","Wedding Day, Harlem",Photograph,168,232,1926,US,3
644,"Dadd, Richard",Wandering Musicians,OilPaintCanvas,510,610,1878,UK,4
645,"Lindner, Richard",Stranger No. 2,OilPaintCanvas,1016,1524,1958,Other,5
646,"Capel Doray, Audrey",Diamond,Screenprint,508,381,1967,Other,1
647,"Fell, Sheila","Maryport, Cumbria",OilPaintCanvas,1270,1019,1965,UK,2
648,"Morellet, Franois",Two Warps and Wefts of Short Lines 0 90,OilPaintCanvas,1000,1000,1955,Other,3
649,"Dugdale, Thomas",The Red Jacket,OilPaintCanvas,641,762,1924,UK,4
650,"Ozenfant, Amde",Glasses and Bottles,OilPaintCanvas,603,727,1922,Other,5
651,"Liebermann, Max",After Bathing,OilPaintCanvas,911,629,1904,Other,1
652,"Salt, John",Pink Trailer,Lithograph,641,432,1977,UK,2
653,"Brough, Romey",Sunflowers,Lithograph,698,451,1972,Other,3
654,"Slawik, Bernard",Pre-Historic Subject,Lithograph,362,292,1976,Other,4
655,"Derain, Andr",The Painter and his Family,OilPaintCanvas,1238,1765,1939,Other,5
656,"Velickovic, Vladimir",Elements and Documents Employed,Screenprint,1079,749,1979,Other,1
657,"Wegner, Nicholas",Guitarist,Lithograph,575,775,1972,UK,2
658,"Smith, Joel",The Red Queen,Screenprint,359,486,1967,US,3
659,"Guillaumin, Armand",Moret-sur-Loing,OilPaintCanvas,730,600,1902,Other,4
660,"Grau, Enrique",Jewel Box,Lithograph,540,645,1977,Other,5
661,"Herring, John Frederick, Junior",Farmyard Scene,OilPaintCanvas,838,571,1870,UK,1
662,"Butts, John",Poachers: View in the Dargle,OilPaintCanvas,899,686,1760,Other,2
663,"Lartigue, Jacques-Henri",Ren Pearl,Photograph,108,133,1930,Other,3
664,"Jackson, Gilbert",A Lady of the Grenville Family and her Son,OilPaintCanvas,608,742,1640,Other,4
665,"Kadishman, Menashe",Sheep Head B,Screenprint,825,572,1979,Other,5
666,"Woods, Henry",Cupids Spell,OilPaintCanvas,749,1187,1885,UK,1
667,"Mapplethorpe, Robert",Patti Smith,Photograph,355,355,1976,US,2
668,"Newman, John",Color Double,Lithograph,324,434,1990,US,3
669,"Gillies, Sir William",Still Life with Blue Gloves,Watercolor,914,654,1968,UK,4
670,"De Grey, Sir Roger",Interior: Exterior,OilPaintCanvas,889,1829,1977,UK,5
671,"Villard, Antoine",Circuit Railway at Grenelle,OilPaintCanvas,730,921,1922,Other,1
672,"MacBryde, Robert",Performing Clown,OilPaintCanvas,705,533,1946,UK,2
673,"Agasse, Jacques Laurent",Lord Riverss Groom Leading a Chestnut Hunter towards a Coursing Party in Hampshire,OilPaintCanvas,625,660,1807,Other,3
674,"Pommerer, Peter",Giraffe with Blue Coloured Eyes,Screenprint,210,260,2000,Other,4
675,"Higgs, Matthew",Despair,Lithograph,129,200,2000,UK,5
676,"Schneider, Gerard","Untitled from Pomes dEugenio Montale, Milan",Lithograph,65,35,1964,Other,1
677,"Tissot, James",Portsmouth Dockyard,OilPaintCanvas,546,381,1877,Other,2
678,"Pears, Charles",Transport by Sea: Place of Safety,Lithograph,460,357,1917,UK,3
679,"Boyd Harte, Glynn",[no title],Lithograph,575,775,1977,UK,4
680,"Canin, Martin",Untitled,Screenprint,914,610,1972,US,5
681,"Adams, Harry William",Winters Sleep,OilPaintCanvas,1841,1226,1900,UK,1
682,"Rozen, Felix",[no title],Screenprint,591,343,1981,Other,2
683,"Browne, Henriette",A Greek Captive,OilPaintCanvas,730,921,1863,Other,3
684,"Wendt, Lionel",[title not known],Photograph,254,334,1933,Other,4
685,"Lees, Derwent",Mtairie des Abeilles,Watercolor,305,229,1912,Other,5
686,"Sickert, Walter Richard",Brighton Pierrots,OilPaintCanvas,762,635,1915,Other,1
687,"Talmage, Algernon",The Founding of Australia 1788,OilPaintCanvas,3200,2290,1937,UK,2
688,"Corneille, Guillaume",[no title],Lithograph,546,756,1975,Other,3
689,"Kahn, Erich",The Seven Sisters,OilPaintCanvas,610,508,1954,Other,4
690,"Metzinger, Jean",Woman with a Coffee Pot,OilPaintCanvas,810,1153,1919,Other,5
691,"Breeze, Claude",Untitled,Screenprint,371,498,1967,Other,1
692,"Wolfe, Robert",Untitled,Screenprint,460,679,1971,Other,2
693,"Makarius, Sameer",Shutter in a House of La Boca,Photograph,297,237,1956,Other,3
694,"Spender, John Humphrey",Cornish Tin Mines,Lithograph,597,384,1971,UK,4
695,"Berber, Mersad",Byzantium I,Screenprint,800,1200,1980,Other,5
696,"Oliveira, Nathan",Stelae #21,OilPaintCanvas,1778,2133,1993,US,1
697,"Gurschner, Herbert",The Annunciation,OilPaintCanvas,1911,1617,1929,Other,2
698,"Bowler, Henry Alexander",The Doubt: Can these Dry Bones Live?,OilPaintCanvas,508,610,1855,Other,3
699,"Tharrats, Joan-Josep",Who Looks ...,OilPaintCanvas,1619,1299,1961,Other,4
700,"Greiffenhagen, Maurice",Restoration of Alsace-Lorraine to France,Lithograph,445,695,1917,UK,5
701,"Stanhope, John Roddam Spencer",The Wine Press,OilPaintCanvas,667,940,1864,UK,1
702,"Steadman, Ralph",Courtroom Scene from Alice in Wonderland,Lithograph,797,571,1967,UK,2
703,"Brundrit, Reginald","Nutwith Common, Masham",OilPaintCanvas,610,457,1940,Other,3
704,"Storey, George Adolphus",Sketch for The Brides Burial,Watercolor,184,222,1859,UK,4
705,"Gainsborough, Thomas",Mr and Mrs Carter,OilPaintCanvas,710,912,1747,UK,5
706,"Phillips, Maurice",Two Heads,Lithograph,508,648,1969,Other,1
707,"Maufra, Maxime",The Embankment of Lagny under Flood Water,OilPaintCanvas,549,457,1908,Other,2
708,"Colverson, Ian",Project Print,Screenprint,502,762,1973,UK,3
709,"Bayer, Herbert",Self-Portrait,Photograph,240,340,1932,Other,4
710,"De Chirico, Giorgio",The Uncertainty of the Poet,OilPaintCanvas,940,1060,1913,Other,5
711,"Drysdale, Russell",War Memorial,OilPaintCanvas,1016,660,1950,UK,1
712,"Hone, Nathaniel","Portrait of a Lady in a Blue Dress, possibly Mrs Mary Barnardiston",OilPaintCanvas,635,762,1779,Other,2
713,"Levy, Simon",The Musician,OilPaintCanvas,857,1213,1925,Other,3
714,"Elliott, Geoffrey",Brighton Fish Market,Lithograph,591,448,1968,UK,4
715,"Desnoyer, Franois",Large Port of Ste,OilPaintCanvas,1619,1140,1950,Other,5
716,"Kunst, Mauro",[no title],Watercolor,498,597,1971,Other,1
717,"Hofmann, Hans",Nulli Secundus,OilPaintCanvas,1318,2136,1964,Other,2
718,"Arnald, George",View on the Ouse at York,OilPaintCanvas,1410,1118,1803,UK,3
719,"Gorky, Arshile",Waterfall,OilPaintCanvas,1130,1537,1943,Other,4
720,"Ajmone, Giuseppe",Autumn,OilPaintCanvas,648,997,1959,Other,5
721,"Roschlau, Michael",The Pillar,Lithograph,495,664,1972,Other,1
722,"Vallotton, Flix",Road at St Paul (Var),OilPaintCanvas,645,806,1922,Other,2
723,"Cockram, George",Solitude,Watercolor,1295,660,1892,UK,3
724,"Wyckaert, Maurice",[no title],Lithograph,467,546,1975,Other,4
725,"Chalon, Henry Bernard","A Representation of the Persians in the Costume of their Country, Attending at Carlton Palace",OilPaintCanvas,1441,1010,1819,Other,5
726,"Denner, Balthasar",A Girl in a Straw Hat,OilPaintCanvas,630,766,1723,Other,1
727,"Katz, Alex",Hiroshi and Marcia,OilPaintCanvas,2437,1828,1981,US,2
728,"Spruance, Benton",Bestiary,Lithograph,483,600,1967,US,3
729,"Carline, Hilda",Self-Portrait,OilPaintCanvas,578,749,1923,UK,4
730,"Burn, Rodney J.","Waterlow Park, Highgate",OilPaintCanvas,2723,1223,1924,UK,5
731,"Bradley, Martin",Personnage Jaune,OilPaintCanvas,760,507,1954,UK,1
732,"Gore, Spencer",Rule Britannia,OilPaintCanvas,635,762,1910,Other,2
733,"Riopelle, Jean-Paul",Perspectives,OilPaintCanvas,1000,806,1956,Other,3
734,"Guston, Philip",Hat,OilPaintCanvas,2921,2032,1976,Other,4
735,"Angellis, Peter",Conversation Piece,OilPaintCanvas,797,937,1715,Other,5
736,"Williams, Kyffin",Pontlyfni in Snow,Lithograph,733,397,1974,UK,1
737,"Tisdall, Hans",Fishermans Hut,Lithograph,762,495,1946,Other,2
738,"Pickard, Louise",Still Life by a Window,OilPaintCanvas,1016,813,1916,UK,3
739,"Watson, Harry",Across the River,Watercolor,546,445,1913,UK,4
740,"Bone, Stephen",Little Venice,OilPaintCanvas,1022,762,1952,UK,5
741,"Redgrave, Richard",The Emigrants Last Sight of Home,OilPaintCanvas,984,679,1858,UK,1
742,"Edwards, Jeffery",Moonlight,Screenprint,562,533,1974,Other,2
743,"Bramley, Frank",Primrose Day,OilPaintCanvas,351,502,1885,UK,3
744,"Wemaere, Pierre",[no title],Lithograph,657,505,1975,Other,4
745,"Havekost, Eberhard",Infinity 1 and 2,OilPaintCanvas,1200,1600,2008,Other,5
746,"Cowper, Frank Cadogan",Lucretia Borgia Reigns in the Vatican in the Absence of Pope Alexander VI,OilPaintCanvas,1537,2210,1908,UK,1
747,"Huysmans, Jacob","Portrait of a Lady, as Diana",OilPaintCanvas,1013,1197,1674,Other,2
748,"Holman, Francis",A Dockyard at Wapping,OilPaintCanvas,1270,787,1780,Other,3
749,"Thornton, Alfred",St Germans,OilPaintCanvas,1016,762,1897,Other,4
750,"Yamawaki, Iwao",Untitled (Portrait of Yamawaki with Paul Oud),Photograph,107,80,1930,Other,5
751,"Piper, Edward","High Level Bridge, Newcastle",Lithograph,597,508,1965,Other,1
752,"Vordemberge-Gildewart, Friedrich",Composition No. 15,OilPaintCanvas,1251,1499,1925,Other,2
753,"Redpath, Anne",The Poppy Field,OilPaintCanvas,762,762,1963,UK,3
754,"Sutej, Miroslav",Print 2,Screenprint,924,670,1976,Other,4
755,"Clarke, Brian",A La Recherche,Screenprint,686,1120,1981,UK,5
756,"Stone, Marcus",Il y en a toujours un autre,OilPaintCanvas,705,1537,1882,UK,1
757,"Hart, Solomon Alexander",Interior of a Polish Synagogue at the Moment when the Manuscript of the Law is Elevated,OilPaintCanvas,673,813,1829,UK,2
758,"Ferrers, Benjamin",Three Ladies of the Leman Family and their Dogs on a Terrace,OilPaintCanvas,1310,830,1728,Other,3
759,"Hamilton, Gawen",The Du Cane and Boehm Family Group,OilPaintCanvas,1270,1016,1734,Other,4
760,"Hughes-Stanton, Sir Herbert","A Pasturage among the Dunes, Pas de Calais, France",OilPaintCanvas,2159,1448,1908,UK,5
761,"Uhlig, Max",Autumn Bouquet,Lithograph,594,470,1980,Other,1
762,"Golden, Grace",Free Speech,OilPaintCanvas,559,406,1940,UK,2
763,"Ophir, Gilad",Yerucham,Photograph,1480,1190,1999,Other,3
764,"Wolfe, Edward",P.C. 77,OilPaintCanvas,781,1076,1927,Other,4
765,"Reid, John Robertson",Toil and Pleasure,OilPaintCanvas,1822,991,1879,UK,5
766,"Spencer Watson, George",Hilda and Maggie,OilPaintCanvas,1448,1270,1911,UK,1
767,"Legnaghi, Igino",Sculptural Image,Screenprint,616,825,1973,Other,2
768,"Mackenzie, Alix",Cornish Fields,Screenprint,193,153,1951,Other,3
769,"Symons, Patrick",Mary Iliffs Viola Played by Electric Light and Drawn by Gas Light,OilPaintCanvas,1664,1740,1974,UK,4
770,"Brooker, William","Still Life, New Studio",OilPaintCanvas,914,914,1974,UK,5
771,"Lavery, Sir John","King George V, Accompanied by Queen Mary, at the Opening of the Modern Foreign and Sargent Galleries at the Tate Gallery, 26 June 1926",OilPaintCanvas,507,608,1926,UK,1
772,"Walton, Edward Arthur",Berwickshire Field-workers,OilPaintCanvas,609,914,1884,UK,2
773,"di Suvero, Mark",Tetra,Lithograph,843,1152,1976,Other,3
774,"Cosway, Richard","Portrait of a Gentleman, his Wife and Sister, in the Character of Fortitude introducing Hope as the Companion to Distress (The Witts Family Group)",OilPaintCanvas,1040,1180,1775,UK,4
775,"Ferneley, John, II",Hunt Scurry,OilPaintCanvas,904,450,1832,UK,5
776,"Tamayo, Rufino",Man and Woman,OilPaintCanvas,1800,1247,1981,Other,1
777,"Osborn, William Evelyn","Beach at Dusk, St Ives Harbour",OilPaintCanvas,510,610,1895,Other,2
778,"Francis, Mark",Source,OilPaintCanvas,1830,2083,1992,UK,3
779,"Abbott, Berenice",Tri-Boro Barber Shop,Photograph,200,250,1935,US,4
780,"Wolff, Christian",Prose Pieces,Screenprint,499,598,1973,Other,5
781,"Benois, Nadia",Near La Garde Freinet,OilPaintCanvas,762,635,1935,Other,1
782,"Boisvert, Gilles",Silver Bird over the Rue St Laurent,Screenprint,410,613,1971,Other,2
783,"Siberechts, Jan","View of a House and its Estate in Belsize, Middlesex",OilPaintCanvas,1397,1079,1696,Other,3
784,"Von Herkomer, Sir Hubert",Portrait of Lady Tate,OilPaintCanvas,1170,1505,1899,Other,4
785,"Yeames, William Frederick",Amy Robsart,OilPaintCanvas,1885,2815,1877,Other,5
786,"Forbes, Vivian",The Fallen Statue,OilPaintCanvas,550,380,1932,UK,1
787,"Collier, Edward","A Trompe lOeil of Newspapers, Letters and Writing Implements on a Wooden Board",OilPaintCanvas,462,588,1699,Other,2
788,"Hine, Lewis","School, y9, District 3. This was the attendance on December 3, and several children were absent on account of sickness",Photograph,127,101,1915,US,3
789,"Mason, Arnold",Girl with a Hand-Mirror,OilPaintCanvas,716,918,1929,UK,4
790,"Thomson, George",St Pauls,OilPaintCanvas,762,635,1897,UK,5
791,"Beer, Richard",Greenlands,Lithograph,464,613,1972,UK,1
792,"Butler, Samuel",Mr Heatherleys Holiday: An Incident in Studio Life,OilPaintCanvas,708,921,1874,UK,2
793,"Jones, William",Phillida Rejecting Mopsus and Cimon: A Scene from Colley Cibbers Damon and Phillida,OilPaintCanvas,762,635,1740,Other,3
794,"Brunias, Agostino",Dancing Scene in the West Indies,OilPaintCanvas,660,508,1764,Other,4
795,"Freud, Lucian",Girl in a Striped Nightshirt,OilPaintCanvas,250,295,1983,Other,5
796,"Finnie, John","Silver Arcade, Leicester",Lithograph,489,591,1956,Other,1
797,"Fildes, Sir Luke",Applicants for Admission to a Casual Ward,OilPaintCanvas,940,571,1909,UK,2
798,"Kirk, Eve",Avignon,OilPaintCanvas,730,502,1939,UK,3
799,"Miller, Jack",Santa Barbara,Lithograph,504,338,1975,UK,4
800,"Berg, Adrian","Gloucester Gate, Regents Park, May",OilPaintCanvas,1774,1775,1982,UK,5
801,"Jackson, Alexander Young",The Entrance to Halifax Harbour,OilPaintCanvas,806,648,1919,Other,1
802,"Doesburg, Theo van",Counter-Composition VI,OilPaintCanvas,500,500,1925,Other,2
803,"Llewellyn, Sir William",Sailing at Blakeney,OilPaintCanvas,762,635,1938,UK,3
804,"Balla, Giacomo",Abstract Speed - The Car has Passed,OilPaintCanvas,654,502,1913,Other,4
805,"Constable, John",View in the Stour Valley looking towards Langham Church from Dedham,Watercolor,664,480,1805,UK,5
806,"Highmore, Joseph",Equestrian Portrait of King George II,OilPaintCanvas,630,750,1743,UK,1
807,"Halswelle, Keeley",Pangbourne,OilPaintCanvas,1359,908,1881,UK,2
808,"Stern, Grete",Hand in Sand,Photograph,157,110,1945,Other,3
809,"Baziotes, William",Mammoth,OilPaintCanvas,1524,1219,1957,US,4
810,"Hicks, Philip",Old Man and Soldier,Screenprint,438,657,1971,Other,5
811,"Cooper, Thomas Sidney",A Cow and Two Sheep,Watercolor,298,216,1860,UK,1
812,"Hickey, Thomas",Dr John Heath,OilPaintCanvas,622,746,1779,Other,2
813,"La Thangue, Henry Herbert",The Return of the Reapers,OilPaintCanvas,695,1190,1886,UK,3
814,"Vuong, Ha van",Itinerant Singer,Lithograph,483,638,1975,Other,4
815,"Cotes, Francis","Anna Maria Astley, Aged Seven, and her Brother Edward, Aged Five and a Half",OilPaintCanvas,1603,2000,1767,UK,5
816,"Farquharson, David",Birnam Wood,OilPaintCanvas,2444,1676,1906,Other,1
817,"Leverett, David",Two Faces of a Place,Screenprint,1050,712,1977,UK,2
818,"Bishop, Henry","Sirocco, Tetuan",OilPaintCanvas,356,305,1907,UK,3
819,"Coldwell, Paul",[title not known],Lithograph,397,275,1998,UK,4
820,"Osborn, Emily","Nameless and Friendless. The rich mans wealth is his strong city, etc. - Proverbs, x, 15",OilPaintCanvas,1038,825,1857,UK,5
821,"Boumans, Bart",Dutch Landscape,Lithograph,492,422,1973,Other,1
822,"Wellington, Hubert L.","The Big Barn, Frampton Mansell",OilPaintCanvas,616,508,1915,UK,2
823,"Dubsky, Mario",Cabaret Valhalla,OilPaintCanvas,2132,2130,1983,UK,3
824,"Lorimer, John Henry","Sir Robert Lorimer, A.R.A., as a Boy",OilPaintCanvas,381,546,1875,UK,4
825,"Laurie, Robin",The Burning Cone,Lithograph,117,197,1970,Other,5
826,"Williams, Penry",Neapolitan Peasants at a Fountain,OilPaintCanvas,1530,1067,1859,UK,1
827,"Taslitzky, Boris",Study for The Death of Danielle Casanova,OilPaintCanvas,1303,811,1949,Other,2
828,"Sheffield, George",Churchyard at Bettws-y-Coed,Watercolor,298,200,1865,UK,3
829,"Chighine, Alfredo",Composition with Palm Trees,OilPaintCanvas,813,648,1960,Other,4
830,"Henderson-Begg, Liselott",Untitled,Lithograph,368,292,1971,Other,5
831,"Dehn, Adolf",Minnesota,Lithograph,762,495,1947,US,1
832,"Binning, Bertram",Merging Sides,Screenprint,495,356,1967,Other,2
833,"Nicol, Erskine",Donnybrook Fair,OilPaintCanvas,2108,1067,1859,UK,3
834,"Brooks, James",Boon,OilPaintCanvas,1730,1803,1957,US,4
835,"Minaux, Andr",Arm-chair in an Interior,OilPaintCanvas,968,1619,1951,Other,5
836,"Krasner, Lee",Gothic Landscape,OilPaintCanvas,2378,1768,1961,US,1
837,"Brooke, William Henry","Lanherne Bay near the Nunnery, Cornwall",Watercolor,190,146,1819,Other,2
838,"Thomson, Alfred R.",Sister Fry,OilPaintCanvas,635,762,1939,Other,3
839,"Janecek, Ota",The Cell,OilPaintCanvas,967,1302,1964,Other,4
840,"McEvoy, Mary",Interior: Girl Reading,OilPaintCanvas,438,533,1901,Other,5
841,"Inshaw, David",The Badminton Game,OilPaintCanvas,1835,1524,1972,UK,1
842,"Bell, John Zephaniah",Cardinal Bourchier Urges the Widow of Edward IV to Let her Son out of Sanctuary,OilPaintCanvas,1765,1321,1868,UK,2
843,"Elwyn, John",Harlech Castle,Lithograph,610,460,1969,UK,3
844,"Spilsbury, Maria",The Schoolmistress,OilPaintCanvas,914,762,1803,UK,4
845,"Osbaldeston, David",A Trade Double,Lithograph,574,414,2007,UK,5
846,"Procktor, Patrick",Northern Lass (from Europaeische Graphik VII),Lithograph,508,657,1971,Other,1
847,"Rocamora, Jaume",[title not known],Screenprint,257,343,1980,Other,2
848,"Waterlow, Sir Ernest Albert",Galway Gossips,OilPaintCanvas,1276,762,1887,UK,3
849,"Shapiro, Shmuel",Two Lovers,Lithograph,448,349,1966,US,4
850,"Park, Alistair",1. 9,Lithograph,441,559,1973,Other,5
851,"Lawson, Thomas",El Diablo,OilPaintCanvas,3660,1830,1985,UK,1
852,"Robb, Brian",Southend Pier,Lithograph,733,483,1956,UK,2
853,"Askew, Victor","The Studio, St Johns Wood",OilPaintCanvas,698,787,1948,UK,3
854,"Bates, Maxwell",Interior,Screenprint,384,508,1968,Other,4
855,"Sandys, Edwina",[no title],Lithograph,435,295,1977,UK,5
856,"Ripley, Edward","Landscape, Cotswold Farm",Lithograph,635,470,1975,Other,1
857,"Bell, Graham",Dover Front,OilPaintCanvas,762,635,1938,Other,2
858,"Bird, John",I.I.,Lithograph,441,559,1973,UK,3
859,"Fuller, Isaac",Portrait of an Unknown Man,OilPaintCanvas,1022,1245,1660,Other,4
860,"Riddy, John",London (Gillender Street 4) 1997,Photograph,480,376,1997,UK,5
861,"Lanceley, Colin",What the Thunder Said,Screenprint,684,1012,1975,Other,1
862,"Holl, Frank",Portrait of My Mother,OilPaintCanvas,508,610,1882,UK,2
863,"Lawler, Louise",25-Mar-91,Photograph,555,380,1991,US,3
864,"Pickersgill, Frederick Richard","Amoret, Aemylia and Prince Arthur, in the Cottage of Sclaunder",OilPaintCanvas,889,591,1845,UK,4
865,"Packham, Alex",The Kitty,Lithograph,581,429,1970,Other,5
866,"Bundy, Edgar",The Morning of Sedgemoor,OilPaintCanvas,1264,1524,1905,UK,1
867,"Bowey, Olwyn",Portrait Sketch of L.S. Lowry,OilPaintCanvas,711,914,1963,UK,2
868,"Severn, Joseph",The Infant of the Apocalypse Saved from the Dragon,OilPaintCanvas,1270,2235,1827,UK,3
869,"Lindstrm, Bengt",Red Man,Lithograph,224,290,1968,Other,4
870,"Jacobs, Janice",Abstract,Lithograph,527,708,1973,Other,5
871,"Inlander, Henry",Moving Surface,OilPaintCanvas,1003,1003,1961,Other,1
872,"Sefran, Gorazd",Sindon III,Lithograph,690,532,1979,Other,2
873,"Egley, William Maw",Omnibus Life in London,OilPaintCanvas,419,448,1859,UK,3
